IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: favicon.ico 	 Data e Hora: 23 10 2014 18:50:09 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: index.html 	 Data e Hora: 23 10 2014 18:50:14 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: facom.png 	 Data e Hora: 23 10 2014 18:50:15 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: post.html 	 Data e Hora: 23 10 2014 18:50:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: style.css 	 Data e Hora: 23 10 2014 18:50:19 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: POST 	 Arquivo requisitado: actions.php 	 Data e Hora: 23 10 2014 18:50:27 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:50:30 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:50:40 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: moved.html 	 Data e Hora: 23 10 2014 18:50:40 GMT 
IP do cliente solicitante: 127.0.0.1 	 Método requisitado: GET 	 Arquivo requisitado: directory 	 Data e Hora: 23 10 2014 18:51:20 GMT 
