max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565107
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565111
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565115
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565119
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565123
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565127
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565131
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565135
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565139
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565143
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565147
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565151
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565155
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565159
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565163
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565167
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565171
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565175
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565179
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565183
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565187
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565191
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565195
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565199
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565203
max: 0	max2: 0	min: 2	min2: 2	total_time: 1706565207
